图书排名,图书名称,图书作者,图书出版时间,图书出版社,图书价格
213,名人传（1915年诺贝尔文学奖获得者罗曼・罗兰的传记代表作）,罗曼罗兰,2016-01-01,作家出版社,13.7
214,雷雨（中国现代杰出剧作家曹禺的代表作，被翻译成各国语言的中国...,曹禺,2017-12-01,北京十月文艺出版社,18.0
215,科幻世界・三体（典藏版）,刘慈欣,2016-06-30,重庆出版社,13.0
216,三毛全集02：撒哈拉的故事,三毛,2017-04-01,北京十月文艺出版社,24.1
218,富爸爸穷爸爸（新版本）当当投资理财类图书！本版随书附赠价值19...,罗伯特・清崎,2019-08-01,四川人民出版社,40.1
219,半小时漫画三国演义（哈哈哈哈一顿大笑，三国故事全知道！桃园结...,陈磊・半小时漫画团队,2021-10-15,河南文艺出版社,27.4
220,非常疑犯（“法医笔记”系列重磅新作。《时代周刊》报道的中国法...,红眸,2021-08-31,天津人民出版社,26.0
221,米小圈上学记一年级（套装共4册）,北猫,2018-04-01,四川少儿出版社,49.0
222,中国通史（吕思勉先生写给普通读者的中国通史入门书）,吕思勉,2015-01-01,民主与建设出版社,18.7
223,那个不为人知的故事,Twentine,2020-10-01,四川文艺出版社,18.9
224,作家榜经典：老人与海（全新未删节插图精装版！海明威作品！人可...,海明威,2017-02-20,浙江文艺出版社,19.9
225,遥远的救世主+天幕红尘+天局（王志文主演电视剧《天道》原著小说...,豆豆,2020-07-22,作家出版社,67.0
226,创业史,柳青,2009-01-01,中国青年出版社,29.4
227,没头脑和不高兴（任溶溶编著彩色注音版）,任溶溶,2018-07-01,安徽少年儿童出版社,12.1
228,疯狂的化学 我是学霸 给孩子的趣味化学启蒙绘本,郭元婕,2021-11-01,北京联合出版有限公司,39.0
229,张医生与王医生（南都年度十大好书！新周刊刀锋图书奖年度纪实作...,伊险峰,2021-10-01,文汇出版社,34.0
230,大侦探福尔摩斯（第1辑）（全6册）,柯南・道尔,2018-02-01,湖北教育出版社,54.2
231,人生只有一件事:教你如何活得更好,金惟纯,2021-05-13,中信出版社,44.2
232,信谊世界精选图画书-爷爷一定有办法,菲比・吉尔曼,2013-04-01,明天出版社,25.2
233,平凡的世界普及本,路遥,2021-06-01,北京十月文艺出版社,38.6
234,我的野生动物朋友：精装珍藏版,蒂皮・德格雷,2020-10-01,接力出版社,59.4
235,父母的语言：3000万词汇塑造更强大的学习型大脑,达娜・萨斯金德,2021-06-15,机械工业出版社,44.2
236,我喜欢生命本来的样子(周国平经典散文作品集),周国平,2017-02-01,作家出版社,22.1
237,俗世奇人（全三册，冯骥才作品）,冯骥才,2020-03-31,作家出版社,31.0
238,笨狼的故事注音版（全8本）,汤素兰,2016-06-01,湖南少年儿童出版社,80.0
239,罗尔德・达尔作品典藏 查理和巧克力工厂,罗尔德・达尔,2017-05-23,明天出版社,11.0
240,罪与罚（“俄罗斯文学天才”陀思妥耶夫斯基成名之作，人能从洁白...,陀思妥耶夫斯基,2020-09-01,台海出版社,40.0
241,海错图笔记（青少版）:入选2020年教育部中小学生指导目录；张辰亮...,张辰亮,2020-10-01,中信出版社,38.9
242,果麦经典：了凡四训（“我命由我不由天！”曾国藩、胡适、稻盛和...,袁了凡,2017-09-01,三秦出版社,16.0
243,曹文轩文集典藏版（全7册）,曹文轩,2013-09-01,天天出版社有限责任公司,84.0
244,小兔子学花钱系列・3~7岁孩子的财商启蒙绘本（全3册）（学花钱、...,辛德斯・麦克劳德,2020-03-13,河南文艺出版社,57.8
245,天堂旅行团（当当专享寄语印签环衬+精编小册子，继《全世界》《云...,张嘉佳,2021-08-01,湖南文艺出版社,26.4
246,东野圭吾：嫌疑人X的献身（易烊千玺、王凯推荐，至为纯粹的爱情，...,东野圭吾,2014-06-01,南海出版公司,24.1
247,逻辑学入门：清晰思考、理性生活的88个逻辑学常识,格桑,2020-09-01,中国纺织出版社,40.7
